platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
YouTube,China,Asia,Chinese,Automotive,#HiddenGems,Hidden Gems of London,StudyWithEmily,trending,Turbo whoosh,14,19,143829,7165,583,532,828,0.063325,rising,TikTok Creative Center,meme template,Android,19,Travel,18,Medium,7990.5,305,0.004053,0.003699,0.005757,23.415033,Tuesday,Evening,Regular,"guide, food tour, travel, hidden gems, vlog",Can’t stop watching 😂,69925.7,Mid,Spring,01.04.2025,2025-04,Street Food Tour — Istanbul 🔥,29,1,10.7,0.563,iPhone,Suggested,0,c64ee1b7004ebe39074757a708254b90,9108,0.049816,0.002121,63.325,0.0498161010644584,0.0040534245527675,0.00369883681316
TikTok,Saudi Arabia,Asia,Arabic,Music,#GameClip,Best Settings for Valorant,UrbanLabs,trending,K-pop hook,34,25,10597,527,67,65,34,0.065396,declining,TikTok Creative Center,jumpcut edits,Android,13,Gaming,6,Short,1766.17,23,0.006323,0.006134,0.003208,21.958333,Sunday,Afternoon,HolidaySeason,"gaming, clips, esports, valorant",مش قادر أبطل اتفرج 😂,101916.4,Mid,Winter,24.08.2025,2025-08,Best Settings for Valorant,26,0,17.4,0.696,Vivo,ForYou,1,acb095534ea3bde050858108699f463b,693,0.049731,0.00217,65.396,0.0497310559592337,0.0063225441162593,0.0061338114560724
TikTok,United Kingdom,Europe,English,Beauty,#Comedy,If Productivity was honest,TravelBySofia,trending,Soft glam loop,10,25,39945,1619,122,117,431,0.057304,rising,Public Reports,b-roll heavy,iOS,10,Comedy,7,Short,5706.43,44,0.003054,0.002929,0.01079,35.977778,Thursday,Morning,Regular,"relatable, sketch, comedy, funny",Can’t stop watching 😂,79597.8,Mid,Spring,06.03.2025,2025-03,POV: Budget 🎮,13,1,18.8,0.752,Xiaomi,ForYou,0,b2654f085b918dd5af36251bd7106766,2289,0.040531,0.001102,57.304,0.0405307297534109,0.0030541995243459,0.0029290274126924
YouTube,Turkey,Europe,Turkish,Tech,#Recipe,Is Ramen worth the hype?,SofiaTV,original,Futurist pad,8,90,28315,712,105,49,45,0.032174,rising,TikTok Creative Center,jumpcut edits,Android,19,Food,18,Medium,1573.06,22,0.003708,0.001731,0.001589,30.956522,Monday,Evening,SummerBreak,"recipe, fast, food",Instant like!,98246.3,Mid,Summer,17.02.2025,2025-02,I tried making Tacos,20,0,51.5,0.572,Samsung,Suggested,0,ccc2679c311d7ad606c609ff19e56581,911,0.025146,0.000777,32.174,0.0251456825004414,0.003708281829419,0.0017305315203955
TikTok,Nigeria,Africa,English,Lifestyle,#Sports,Weekly Reset — Productivity,GamingWithLeila,original,Morning vibe,3,42,56846,4724,349,558,296,0.104264,seasonal,TikTok Creative Center,b-roll heavy,Web,13,Sports,22,Evergreen,2583.91,97,0.006139,0.009816,0.005207,48.204082,Thursday,Afternoon,Regular,"football, gym, sports, workout",So underrated!,115624.3,Mid,Fall,16.01.2025,2025-01,Football skills in 60s 🧠,24,1,29.7,0.707,Desktop,ForYou,0,a73066bddd506574bbd55c2297117d47,5927,0.083102,0.001706,104.264,0.0831017134011188,0.0061393941526228,0.0098159940892938
YouTube,South Africa,Africa,English,Education,#Crafts,Night Routine — 2025,TechieNoor,original,Soft focus,15,61,239768,5899,683,443,473,0.031272,seasonal,Public Reports,meme template,Web,19,DIY,3,Short,79922.67,120,0.002849,0.001848,0.001973,48.752066,Friday,Evening,Regular,"diy, makeover, life hacks, how to, craft",So underrated!,109753.9,Mid,Spring,11.04.2025,2025-04,Life Hacks for lamp,19,0,36.4,0.597,Desktop,Suggested,1,e97c3970430638939e715080ee31eccf,7498,0.024603,0.0005,31.272,0.0246029495178672,0.0028485869674018,0.0018476193653865
TikTok,Colombia,South America,Spanish,Automotive,#Coding,AI Tools You Must Try in 2025,BeautyByYuki,trending,Engine rev,21,12,82841,6879,666,673,432,0.104417,declining,TikTok Creative Center,subtitles,iOS,14,Tech,17,Medium,4873.0,68,0.008039,0.008124,0.005215,99.695652,Friday,Afternoon,Regular,"tools, ai, tech",No puedo parar de mirar 😂,94471.2,Mid,Spring,23.05.2025,2025-05,My Favorite 2025 Apps 💪,23,1,8.1,0.675,iPhone,External,1,ad6eaf63426cd78df161108f20b570c3,8650,0.083039,0.000821,104.417,0.0830385920015451,0.0080394973503458,0.0081239965717458
TikTok,Kenya,Africa,Swahili,Science,#Lifestyle,Morning Routine — Budget,MayaShorts,original,Microscope hum,15,26,63588,4686,378,513,293,0.092313,stable,TikTok Creative Center,emoji overlays,Android,23,Lifestyle,9,Medium,7065.33,64,0.005945,0.008068,0.004608,72.092308,Wednesday,Night,Regular,"daily, routine, lifestyle, motivation",Thanks for this!,104142.7,Mid,Spring,09.04.2025,2025-04,Night Routine — Budget 🍔,24,1,17.9,0.688,Pixel,ForYou,0,fab5f63fe9ded309c5ec4fe0dfcc5e71,5870,0.073693,0.001006,92.313,0.0736931496508775,0.0059445178335535,0.0080675599169654
TikTok,Poland,Europe,Polish,Science,#Football,Night Routine — Budget,BeautyByYoussef,trending,Cosmic pad,18,46,69411,5162,435,618,523,0.097074,seasonal,TikTok Creative Center,meme template,Android,21,Sports,54,Evergreen,1285.39,226,0.006267,0.008903,0.007535,22.740088,Thursday,Evening,SummerBreak,"workout, football, sports, gym",Can’t stop watching 😂,103607.3,Mid,Summer,01.05.2025,2025-05,Workout you can’t skip,22,0,27.6,0.6,Huawei,External,0,d386ea813c8d7e1cbc4fcfea391ce89a,6738,0.074369,0.003256,97.074,0.0743686159254296,0.0062670181959631,0.0089034879197821
YouTube,Australia,Oceania,English,Lifestyle,#FYP,Outfits for Productivity,NoahVlogs,licensed,Morning vibe,30,56,21246,715,59,68,76,0.043208,rising,TikTok Creative Center,greenscreen,iOS,19,Fashion,6,Short,3541.0,93,0.002777,0.003201,0.003577,7.606383,Friday,Evening,Regular,"fashion, grwm, style, ootd",So underrated!,112535.6,Mid,Fall,25.07.2025,2025-07,Outfits for Bold,16,0,25.0,0.446,iPhone,Home,1,caa42a720a9b640ba9a2a546d22f5901,918,0.033653,0.004377,43.208,0.0336533935799679,0.0027769933163889,0.0032006024663466
TikTok,Argentina,South America,Spanish,Automotive,#FYP,AI Tools You Must Try in 2025,Lucas,licensed,Turbo whoosh,13,16,64781,4038,444,340,253,0.078341,declining,TikTok Creative Center,tutorial overlay,Android,22,Tech,21,Medium,3084.81,175,0.006854,0.005248,0.003905,22.943182,Tuesday,Evening,Regular,"apps, tutorial, ai",¡Increíble!,111632.0,Mid,Winter,25.03.2025,2025-03,AI Tools You Must Try in 2025,29,0,10.6,0.662,Samsung,ForYou,0,7ac8b720be8a4455d57d410023f38ce2,5075,0.062333,0.002701,78.341,0.062333091492876,0.0068538614717278,0.0052484524783501
TikTok,Netherlands,Europe,Dutch,Education,#FYP,Weekly Reset — Budget,PrimeVision,original,Soft focus,5,60,239427,14986,1513,1092,3107,0.086448,declining,TikTok Creative Center,greenscreen,iOS,22,DIY,6,Short,39904.5,390,0.006319,0.004561,0.012977,38.327366,Tuesday,Evening,SummerBreak,"diy, craft, makeover, life hacks",Instant like!,96426.1,Mid,Summer,28.01.2025,2025-01,Room Makeover — PC,18,0,47.4,0.79,Samsung,External,0,42021d4e417296dc3b32101e0d82885d,20698,0.062591,0.001629,86.448,0.0625911029248998,0.0063192538853178,0.0045608891227806
TikTok,India,Asia,Hindi,Art,#StreetFood,5-Minute Ramen,HassanOfficial,original,Paint stroke ASMR,33,30,48341,5644,773,678,527,0.157672,stable,TikTok Creative Center,jumpcut edits,iOS,21,Food,13,Medium,3718.54,44,0.015991,0.014025,0.010902,125.422222,Monday,Evening,Regular,"fast, recipe, food, kitchen",This is fire 🔥,88068.7,Mid,Spring,11.08.2025,2025-08,5-Minute Ramen,14,0,21.8,0.727,Xiaomi,ForYou,0,51a94bed63a68916c6cfbbf4e8f26b3c,7622,0.116754,0.00091,157.672,0.1167538942098839,0.0159905670135082,0.0140253614943836
YouTube,Saudi Arabia,Asia,Arabic,Finance,#OOTD,GRWM: College Edition,DrSara,licensed,Clean corporate bed,17,44,79898,2797,346,340,183,0.045884,seasonal,Open Web Samples,text-to-speech,iOS,13,Fashion,6,Short,13316.33,391,0.004331,0.004255,0.00229,7.135204,Thursday,Afternoon,SummerBreak,"style, ootd, grwm",تحفة بصراحة!,106751.2,Mid,Summer,24.04.2025,2025-04,How to style Bold,17,0,26.6,0.605,Huawei,Home,0,bc5ae0c7f65d3a4ebd51d46775d4db12,3666,0.035007,0.004894,45.884,0.0350071340959723,0.0043305214148038,0.0042554256677263
YouTube,Mexico,North America,Spanish,Fashion,#FYP,Night Routine — Budget,LifeOfAyaka,trending,Runway loop,13,55,42864,1071,94,139,214,0.035414,rising,Public Reports,greenscreen,iOS,20,Dance,5,Short,8572.8,143,0.002193,0.003243,0.004993,7.4375,Friday,Evening,Regular,"dance, challenge, music",¡Increíble!,104056.7,Mid,Fall,28.03.2025,2025-03,New Dance Challenge!,20,0,29.6,0.538,Samsung,Search,1,66d48c83235b640b4765c740a3fac403,1518,0.024986,0.003336,35.414,0.0249860022396416,0.0021929824561403,0.003242814483016
TikTok,Morocco,Africa,Arabic,DIY,#Dance,Morning Routine — Productivity,UrbanLabs,original,Tape measure click,35,31,22328,2070,157,232,441,0.129882,stable,TikTok Creative Center,subtitles,iOS,6,Dance,5,Short,4465.6,59,0.007032,0.010391,0.019751,34.5,Tuesday,Morning,HolidaySeason,"dance, challenge, music, trend",شرح ممتاز 👏,101916.4,Mid,Winter,26.08.2025,2025-08,Dance With Me — Summer ⚽,24,1,23.2,0.748,Samsung,Following,0,c04f050d4c3376a805e033b8adef37a5,2900,0.092709,0.002642,129.882,0.0927087065567896,0.0070315299175922,0.0103905410247223
TikTok,Germany,Europe,German,Food,#FYP,5-Minute Kunafa,DailyVlogsYuki,trending,Kitchen groove,7,14,226236,16352,1293,1276,2493,0.094653,rising,Open Web Samples,storytime,Web,10,Food,15,Medium,15082.4,482,0.005715,0.00564,0.011019,33.855072,Thursday,Morning,Regular,"street food, fast, recipe",Instant like!,113750.9,Mid,Spring,13.02.2025,2025-02,Street Kunafa Taste Test,24,0,7.2,0.514,Desktop,External,0,a8e4d92116585c9d2d5db3a9b692dc91,21414,0.072279,0.002131,94.653,0.0722785056312876,0.0057152707791863,0.0056401280079209
YouTube,Netherlands,Europe,Dutch,DIY,#Cover,Underrated artists you need to hear,StreetStudio,licensed,Tape measure click,24,40,8335,273,42,29,43,0.046431,stable,TikTok Creative Center,emoji overlays,Android,22,Music,3,Short,2778.33,14,0.005039,0.003479,0.005159,18.2,Sunday,Evening,Regular,"beat, song, cover, music",Instant like!,88159.6,Mid,Spring,15.06.2025,2025-06,Underrated artists to hear,26,0,17.7,0.442,Samsung,Home,1,4c905c2c95fa3727f2d7a5dcb71a4b37,387,0.032753,0.00168,46.431,0.0327534493101379,0.0050389922015596,0.0034793041391721
YouTube,Mexico,North America,Spanish,Gaming,#FYP,Night Routine — Budget,DailyVlogsJames,licensed,8bit loop,19,27,28879,1328,147,148,249,0.064822,rising,TikTok Creative Center,emoji overlays,Android,20,Lifestyle,3,Short,9626.33,120,0.00509,0.005125,0.008622,10.975207,Friday,Evening,BackToSchool,"lifestyle, motivation, daily, routine",¡Increíble!,89411.7,Mid,Fall,09.05.2025,2025-05,Night Routine — Summer,22,0,10.9,0.404,iPhone,Home,1,e1041a54b0b98f2523ee89526ba704cb,1872,0.045985,0.004155,64.822,0.0459849717788012,0.0050902039544305,0.0051248311922157
TikTok,Saudi Arabia,Asia,Arabic,Tech,#Streamer,New Patch Tips for Valorant,DanceWithAyaka,trending,Glitch hop,2,14,70681,5103,355,568,317,0.089741,stable,TikTok Creative Center,jumpcut edits,iOS,11,Gaming,7,Short,10097.29,131,0.005023,0.008036,0.004485,38.659091,Friday,Morning,SummerBreak,"valorant, gaming, highlights",جامد جدًا 🔥,92942.5,Mid,Summer,10.01.2025,2025-01,Insane EA FC 25 Highlights! ⚽,29,1,9.1,0.65,Samsung,ForYou,1,d5206dbc040f56479eb95810fd1cbda6,6343,0.072198,0.001853,89.741,0.0721976202939969,0.0050225661776149,0.0080361058841838
TikTok,India,Asia,Hindi,Pets,#OOTD,Outfits for Beginners,JiwooTV,trending,Cute whistle,21,24,20749,1480,240,125,196,0.098366,rising,Public Reports,greenscreen,Android,19,Fashion,11,Medium,1886.27,20,0.011567,0.006024,0.009446,70.47619,Sunday,Evening,BackToSchool,"ootd, fashion, grwm",This is fire 🔥,95832.5,Mid,Fall,25.05.2025,2025-05,How to style Evening,20,0,17.7,0.737,Other,ForYou,1,4310fb42ae277bd7ad956d126d1ae74b,2041,0.071329,0.000964,98.366,0.0713287387343968,0.0115668224974697,0.0060243867174321
TikTok,Russia,Europe,Russian,DIY,#OOTD,How to style Summer,BeyondLabs,trending,Tape measure click,21,28,207843,8783,882,1061,971,0.056278,rising,Open Web Samples,meme template,Web,17,Fashion,7,Short,29691.86,178,0.004244,0.005105,0.004672,49.067039,Sunday,Evening,SummerBreak,"grwm, fashion, style",Thanks for this!,104158.3,Mid,Summer,25.05.2025,2025-05,How to style Office ⚽,21,1,15.2,0.543,Desktop,External,1,17830843fdc56ad0252e9d14e4c6e30d,11697,0.042258,0.000856,56.278,0.0422578580948119,0.0042435877080296,0.0051048146918587
YouTube,Philippines,Asia,Filipino,Art,#OOTD,How to style Summer,Ayaka,trending,Indie brush,29,28,57851,2693,225,277,296,0.060345,seasonal,TikTok Creative Center,cinematic b-roll,iOS,12,Fashion,14,Medium,4132.21,269,0.003889,0.004788,0.005117,9.974074,Friday,Afternoon,SummerBreak,"ootd, fashion, grwm, style",So underrated!,95540.6,Mid,Summer,18.07.2025,2025-07,Outfits for Evening,19,0,17.2,0.614,iPhone,Home,1,937546d93b06fd21c74217cc6276fd65,3491,0.046551,0.00465,60.345,0.046550621424003,0.0038893018271075,0.0047881626938168
YouTube,Philippines,Asia,Filipino,Lifestyle,#FYP,If 2025 was honest,MusicByFatma,trending,Sunset pad,20,34,85377,1347,108,106,245,0.021153,stable,TikTok Creative Center,hook in 2s,Android,20,Comedy,8,Medium,10672.12,187,0.001265,0.001242,0.00287,7.164894,Sunday,Evening,Regular,"funny, relatable, sketch, comedy",Can’t stop watching 😂,80410.8,Mid,Winter,18.05.2025,2025-05,When your friend is 2025,24,0,15.2,0.447,iPhone,External,1,310caf6f1eba8ffc9258bb7f06823613,1806,0.015777,0.00219,21.153,0.0157770828209002,0.0012649776871991,0.0012415521744732
TikTok,Italy,Europe,Italian,Pets,#Football,Morning Routine — College,StreetLabs,original,Cute whistle,27,23,127755,11581,1835,1310,1220,0.124817,stable,TikTok Creative Center,subtitles,Android,15,Sports,28,Evergreen,4562.68,251,0.014363,0.010254,0.00955,45.956349,Friday,Afternoon,Regular,"gym, workout, sports, football",So underrated!,106295.8,Mid,Spring,04.07.2025,2025-07,Speed drills for beginners 🔥,28,1,13.0,0.565,Samsung,ForYou,1,9b942573a4bf31122aa949b159e6f7c6,15946,0.09065,0.001965,124.817,0.0906500724042111,0.0143634300027396,0.0102540018003209
YouTube,Egypt,Africa,Arabic,Tech,#FYP,24 Hours in Dubai,MayaChannel,trending,Glitch hop,10,31,19905,666,92,68,43,0.043657,rising,Public Reports,hook in 2s,iOS,8,Travel,5,Short,3981.0,82,0.004622,0.003416,0.00216,8.024096,Friday,Morning,SummerBreak,"food tour, hidden gems, travel, guide, vlog",مش قادر أبطل اتفرج 😂,86206.8,Mid,Summer,07.03.2025,2025-03,Street Food Tour — Istanbul 🏖️,30,1,15.9,0.513,iPhone,Search,1,95dafebbb81af218f9163392898cbefe,869,0.033459,0.00412,43.657,0.0334589299171062,0.0046219542828435,0.0034162270786234
TikTok,France,Europe,French,Lifestyle,#FYP,AI Tools You Must Try in 2025,OliviaTV,licensed,Morning vibe,2,32,61762,3896,384,285,290,0.078608,rising,Public Reports,emoji overlays,Android,13,Tech,3,Short,20587.33,82,0.006217,0.004614,0.004695,46.939759,Wednesday,Afternoon,HolidaySeason,"apps, ai, tutorial, tools, tech",Merci pour le partage !,95392.8,Mid,Winter,08.01.2025,2025-01,AI Tools You Must Try in 2025 🔥,31,1,16.6,0.519,iPhone,Search,0,1c1f1165ef1415708b45a708620e74eb,4855,0.063081,0.001328,78.608,0.0630808587804799,0.0062174152391438,0.004614487872802
YouTube,Australia,Oceania,English,Art,#Music,Perfect — Cover,DiegoYT,original,Indie brush,16,37,243302,8281,812,676,1595,0.046707,seasonal,Public Reports,jumpcut edits,Android,14,Music,21,Medium,11585.81,239,0.003337,0.002778,0.006556,34.504167,Monday,Afternoon,Regular,"song, cover, beat, music",Instant like!,84611.9,Mid,Winter,14.04.2025,2025-04,I flipped this sample,21,0,24.2,0.654,Samsung,Home,0,7bbb0e0c37c835277700c6dd2409c9d4,11364,0.034036,0.000982,46.707,0.0340358895529013,0.0033374160508339,0.0027784399635021
TikTok,Mexico,North America,Spanish,Beauty,#Coding,Build This in 10 Minutes,AhmedShorts,original,Soft glam loop,26,40,130654,9270,955,651,1946,0.098137,stable,TikTok Creative Center,emoji overlays,iOS,10,Tech,5,Short,26130.8,410,0.007309,0.004983,0.014894,22.554745,Sunday,Morning,SummerBreak,"tools, tech, apps, ai",Gracias por compartir,100266.4,Mid,Summer,29.06.2025,2025-06,AI Tools You Must Try in 2025 🍔,31,1,26.5,0.662,Samsung,External,1,7d5c70bd401d4418006ffd57728d1864,12822,0.070951,0.003138,98.137,0.0709507554303733,0.0073093820319316,0.0049826258667932
TikTok,China,Asia,Chinese,News,#Relatable,When your friend is 2025,DanceWithYoussef,trending,Ambient pulse,8,12,25609,1603,235,193,107,0.083486,rising,Open Web Samples,facecam,iOS,13,Comedy,21,Medium,1219.48,10,0.009176,0.007536,0.004178,145.727273,Monday,Afternoon,SummerBreak,"sketch, relatable, funny",Thanks for this!,63890.7,Mid,Summer,17.02.2025,2025-02,When your friend is Productivity,32,0,8.4,0.7,iPhone,Following,0,cdb386ff5e08e6e1fe9772ba018c36f9,2138,0.062595,0.00039,83.486,0.0625951813815455,0.0091764614002889,0.0075364129798117
YouTube,United Arab Emirates,Asia,Arabic,Fitness,#DanceChallenge,Morning Routine — Summer,OliviaOfficial,original,Cardio loop,24,52,122949,5999,895,488,388,0.063197,seasonal,TikTok Creative Center,facecam,Android,20,Dance,7,Short,17564.14,557,0.007279,0.003969,0.003156,10.750896,Monday,Evening,Regular,"music, dance, trend",مش قادر أبطل اتفرج 😂,81001.0,Mid,Spring,09.06.2025,2025-06,Dance With Me — Evening 💪,25,1,38.4,0.738,Samsung,Home,0,7ad87dd435210eacd28bd8cf8de8496f,7770,0.048793,0.00453,63.197,0.0487925887969808,0.0072794410690611,0.0039691254097227
TikTok,South Africa,Africa,English,Pets,#Motivation,Weekly Reset — Summer,BeyondHub,trending,Purr loop,9,30,21368,1683,172,115,103,0.097014,stable,TikTok Creative Center,meme template,iOS,22,Education,4,Short,5342.0,66,0.008049,0.005382,0.00482,25.119403,Thursday,Evening,Regular,"productivity, study, learn",Can’t stop watching 😂,108139.9,Mid,Fall,27.02.2025,2025-02,Exam Day Routine,16,0,21.3,0.71,iPhone,ForYou,0,c0cdf9ca2d7356614b397a5e3e876e3c,2073,0.078763,0.003089,97.014,0.0787626357169599,0.0080494196929988,0.0053818794459004
YouTube,Kenya,Africa,Swahili,News,#GRWM,GRWM: 2025 Edition,Hassan,original,Ambient pulse,2,53,234706,10570,1256,953,1783,0.062044,rising,TikTok Creative Center,storytime,Android,17,Fashion,5,Short,46941.2,444,0.005351,0.00406,0.007597,23.752809,Thursday,Evening,Regular,"grwm, style, ootd, fashion",This is fire 🔥,85260.3,Mid,Spring,09.01.2025,2025-01,Outfits for Evening,19,0,27.9,0.526,Huawei,External,0,e825e4b36379c5e7d2457a3ae703d98b,14562,0.045035,0.001892,62.044,0.0450350651453307,0.0053513757637214,0.0040603989672185
YouTube,Netherlands,Europe,Dutch,Science,#GRWM,How to style Budget,BeautyByLiam,original,Microscope hum,2,21,38352,911,100,74,65,0.029985,rising,TikTok Creative Center,emoji overlays,Android,18,Fashion,4,Short,9588.0,50,0.002607,0.001929,0.001695,17.862745,Thursday,Evening,SummerBreak,"fashion, ootd, grwm",This is fire 🔥,89533.8,Mid,Summer,09.01.2025,2025-01,Outfits for Summer 🎮,20,1,8.5,0.405,iPhone,Home,0,acc562de2543536d9e01f8df14653329,1150,0.023754,0.001304,29.985,0.0237536503963287,0.002607425949103,0.0019294952023362
TikTok,Japan,Asia,Japanese,Food,#Sports,Morning Routine — Beginners,JamesVlogs,trending,Sizzle ASMR,14,19,62225,3905,651,346,582,0.088132,rising,TikTok Creative Center,hook in 2s,Android,10,Sports,13,Medium,4786.54,81,0.010462,0.00556,0.009353,47.621951,Friday,Morning,Regular,"football, gym, sports",ずっと見ちゃう😂,130631.3,Mid,Spring,04.04.2025,2025-04,Workout you can’t skip 📱,24,1,13.9,0.732,Pixel,ForYou,1,ead1a25f99e2f1d467e77e22b0452247,5484,0.062756,0.001302,88.132,0.0627561269586179,0.0104620329449578,0.0055604660506227
YouTube,Egypt,Africa,Arabic,Tech,#Makeup,GRWM — College Look,VividMedia,trending,Futurist pad,31,46,11342,373,27,39,23,0.040734,seasonal,Public Reports,emoji overlays,Android,8,Beauty,7,Short,1620.29,31,0.002381,0.003439,0.002028,11.65625,Tuesday,Morning,SummerBreak,"makeup, tips, skincare",تحفة بصراحة!,91145.8,Mid,Summer,29.07.2025,2025-07,GRWM — Bold Look ✨,18,1,20.3,0.441,Oppo,Home,0,6d557b15ab400f2c9b9f8eb1f112be7c,462,0.032887,0.002733,40.734,0.0328866161170869,0.0023805325339446,0.0034385469934755
YouTube,Netherlands,Europe,Dutch,Comedy,#FYP,Hidden Gems of Istanbul,TrueVision,original,Clap beat,23,41,99342,4933,529,345,305,0.061525,rising,Public Reports,cinematic b-roll,iOS,21,Travel,7,Short,14191.71,698,0.005325,0.003473,0.00307,7.057225,Friday,Evening,SummerBreak,"travel, vlog, food tour",So underrated!,106642.8,Mid,Summer,06.06.2025,2025-06,Hidden Gems of Tokyo,20,0,20.5,0.5,Pixel,Home,1,403588e7ed947c1289240d2a014ad95e,6112,0.049657,0.007026,61.525,0.0496567413581365,0.0053250387550079,0.0034728513619617
YouTube,France,Europe,French,Finance,#DanceChallenge,Morning Routine — Budget,UrbanVision,original,Subtle groove,31,19,21002,520,71,36,33,0.031426,rising,TikTok Creative Center,greenscreen,iOS,15,Dance,4,Short,5250.5,28,0.003381,0.001714,0.001571,17.931034,Saturday,Afternoon,Regular,"music, challenge, trend, dance",Incroyable !,120866.4,Mid,Spring,02.08.2025,2025-08,Try this move 👉,15,0,11.5,0.605,Xiaomi,Home,1,00bf203bfe0de57ee26cf5af03d174c3,660,0.02476,0.001333,31.426,0.0247595467098371,0.0033806304161508,0.0017141224645271
TikTok,Australia,Oceania,English,Food,#Pets,Night Routine — Budget,LifeOfSara,licensed,Sizzle ASMR,16,18,14127,1099,125,72,144,0.101932,declining,Open Web Samples,facecam,iOS,17,Pets,4,Short,3531.75,7,0.008848,0.005097,0.010193,137.375,Friday,Evening,Regular,"cats, cute, dogs",Instant like!,68744.1,Mid,Spring,18.04.2025,2025-04,Cutest moments today 💪,22,1,11.7,0.65,iPhone,ForYou,1,9637c930306497d15ac9482725a3d6a3,1440,0.077794,0.000496,101.932,0.0777942946131521,0.0088483046648262,0.0050966234869399
TikTok,Turkey,Europe,Turkish,Education,#FYP,Street Food Tour in Paris,TrueStudio,original,Soft focus,13,17,148990,15429,2165,1257,992,0.133183,declining,Public Reports,split-screen,Android,20,Travel,17,Medium,8764.12,529,0.014531,0.008437,0.006658,29.111321,Friday,Evening,HolidaySeason,"hidden gems, travel, guide, food tour",Instant like!,95967.2,Mid,Winter,28.03.2025,2025-03,Street Food Tour — Tokyo 🎯,26,1,13.8,0.812,Huawei,Search,1,f280146f3855599e407829d25fb726fa,19843,0.103557,0.003551,133.183,0.103557285723874,0.0145311765890328,0.0084368078394523
TikTok,Sweden,Europe,Swedish,Lifestyle,#Cover,I flipped this sample,LifeOfAyaka,licensed,Chill guitar,20,38,41828,2739,411,210,490,0.092044,stable,Public Reports,emoji overlays,Android,19,Music,8,Medium,5228.5,49,0.009826,0.005021,0.011715,54.78,Sunday,Evening,HolidaySeason,"beat, song, cover",This is fire 🔥,104056.7,Mid,Winter,18.05.2025,2025-05,Stay — Cover 🔥,14,1,21.5,0.566,Vivo,Search,1,276734ebd38dfb62536e767d5700a6f7,3850,0.065482,0.001171,92.044,0.0654824519460648,0.0098259539064741,0.0050205603901692
YouTube,Spain,Europe,Spanish,Pets,#Streamer,New Patch Tips for Minecraft,Lucas,licensed,Purr loop,28,50,19713,1131,99,112,70,0.071628,seasonal,Public Reports,emoji overlays,iOS,18,Gaming,21,Medium,938.71,98,0.005022,0.005682,0.003551,11.424242,Friday,Evening,SummerBreak,"fps, esports, clips, gaming, highlights, valorant",No puedo parar de mirar 😂,111632.0,Mid,Summer,11.07.2025,2025-07,Pro Tips for GTA V in 60s,25,0,33.4,0.668,iPhone,Home,1,18c5b3fa5c75b27bd84f4484f420d587,1412,0.057373,0.004971,71.628,0.0573733069548014,0.005022066656521,0.0056815299548521
TikTok,Nigeria,Africa,English,Gaming,#GameClip,Fortnite — Insane Highlights!,VividVision,original,Boss fight theme,7,31,434531,20245,2393,1775,3756,0.064826,stable,TikTok Creative Center,emoji overlays,Android,6,Gaming,21,Medium,20691.95,430,0.005507,0.004085,0.008644,46.972158,Monday,Morning,Regular,"fps, valorant, highlights, gaming, clips, esports",Thanks for this!,93727.3,Mid,Spring,10.02.2025,2025-02,Best Settings for Fortnite,26,0,22.2,0.716,Vivo,ForYou,0,19440c099ed0242571471d5bd98d3a25,28169,0.04659,0.00099,64.826,0.0465904619003017,0.0055070869512186,0.0040848639107451
TikTok,Australia,Oceania,English,Travel,#Travel,Street Food Tour in Paris,LifeOfJames,trending,Waves & bells,22,24,15505,583,73,44,132,0.05366,declining,TikTok Creative Center,split-screen,Android,19,Travel,6,Short,2584.17,20,0.004708,0.002838,0.008513,27.761905,Thursday,Evening,Regular,"food tour, hidden gems, vlog",Thanks for this!,116234.3,Mid,Fall,29.05.2025,2025-05,24 Hours in Cairo,17,0,18.1,0.754,iPhone,ForYou,0,34295a1ba86bc847c6d53fdfd54e2bff,832,0.037601,0.00129,53.66,0.037600773943889,0.0047081586584972,0.0028377942599161
TikTok,Russia,Europe,Russian,Comedy,#AI,Build This in 10 Minutes,PrimeStudio,trending,Whistle loop,9,28,39321,1746,237,150,112,0.057094,seasonal,Public Reports,text-to-speech,Android,17,Tech,15,Medium,2621.4,42,0.006027,0.003815,0.002848,40.604651,Sunday,Evening,Regular,"tools, apps, tutorial, ai",Thanks for this!,109552.0,Mid,Spring,02.03.2025,2025-03,My Favorite College Apps 📱,26,1,21.0,0.75,Samsung,Following,1,521326a8aa8b61b10fbdd95eed254601,2245,0.044404,0.001068,57.094,0.0444037537193865,0.006027313649195,0.0038147554741741
